iter	RMSE
0	13.68915905
1	12.43744992
2	11.33358002
3	10.3802541
4	9.599061222
5	9.017869084
6	8.473988214
7	8.045393607
8	7.637611587
9	7.258345393
10	6.956948472
11	6.72635428
12	6.525663772
13	6.370636987
14	6.213318914
15	6.071040255
16	5.972046232
17	5.897947429
18	5.81259633
19	5.714769816
20	5.656653783
21	5.58510036
22	5.541916934
23	5.500186855
24	5.458041389
25	5.41579414
26	5.372375519
27	5.333959667
28	5.31066254
29	5.297775559
30	5.270489656
31	5.254263223
32	5.230866194
33	5.211751629
34	5.193760536
35	5.169138339
36	5.149944691
37	5.131184093
38	5.118974918
39	5.102982962
40	5.089434914
41	5.077335327
42	5.058309306
43	5.038844017
44	5.018740867
45	5.007035552
46	4.989343249
47	4.973930281
48	4.951006739
49	4.939354758
50	4.923297285
51	4.906860423
52	4.900950959
53	4.890964272
54	4.882272441
55	4.867562244
56	4.85522999
57	4.829730463
58	4.817688737
59	4.803934515
60	4.770208943
61	4.753136897
62	4.746200348
63	4.738438067
64	4.722591314
65	4.707489624
66	4.694497069
67	4.684757248
68	4.669926883
69	4.657429366
70	4.647058495
71	4.638692846
72	4.616195866
73	4.595576048
74	4.590841235
75	4.587100584
76	4.573752315
77	4.564618105
78	4.541954063
79	4.539269312
80	4.530704101
81	4.522571708
82	4.514585412
83	4.496971325
84	4.47257134
85	4.463223072
86	4.45402575
87	4.436597554
88	4.41840603
89	4.412944744
90	4.406323737
91	4.387749247
92	4.381346575
93	4.363282791
94	4.351087384
95	4.330802679
96	4.309523852
97	4.297624343
98	4.281196312
99	4.266878055
100	4.248292031
101	4.244493234
102	4.227585291
103	4.2137459
104	4.212293949
105	4.194530251
106	4.182076443
107	4.168749478
108	4.160207316
109	4.146382863
110	4.135571881
111	4.127714974
112	4.117055657
113	4.103832485
114	4.093844126
115	4.073654687
116	4.056479553
117	4.042643687
118	4.03100448
119	4.024783461
120	4.02058059
121	4.01584773
122	4.012271504
123	4.005933175
124	4.000534596
125	3.996633522
126	3.994399434
127	3.982882392
128	3.973378886
129	3.971546027
130	3.959464857
131	3.952846986
132	3.945463837
133	3.940575635
134	3.927714286
135	3.919589533
136	3.908457715
137	3.902232195
138	3.894916634
139	3.892816249
140	3.878514616
141	3.86778283
142	3.866125045
143	3.855037036
144	3.840359346
145	3.826952149
146	3.813477502
147	3.805175405
148	3.795072896
149	3.782209948
150	3.778010229
151	3.770899838
152	3.765761308
153	3.750335263
154	3.737576465
155	3.732298455
156	3.721790886
157	3.713367904
158	3.701385467
159	3.694044029
160	3.690246907
161	3.680596571
162	3.676118459
163	3.665558057
164	3.657616806
165	3.650887185
166	3.645430703
167	3.644361966
168	3.642123162
169	3.640786528
170	3.636260052
171	3.63334087
172	3.630653392
173	3.629763952
174	3.616426674
175	3.606383549
176	3.605468623
177	3.601981995
178	3.598160536
179	3.587537389
180	3.572137957
181	3.565854285
182	3.559350596
183	3.551270754
184	3.54220466
185	3.539053811
186	3.534222
187	3.531900421
188	3.52256638
189	3.513820973
190	3.50972968
191	3.50023878
192	3.490415183
193	3.484243211
194	3.473143541
195	3.472236749
196	3.456878039
197	3.44263952
198	3.438579963
199	3.435147186
