iter	Passed	Remaining
0	9	9443
1	14	7242
2	17	5823
3	20	5167
4	25	4993
5	27	4583
6	30	4389
7	32	4070
8	35	3948
9	39	3879
10	40	3673
11	42	3491
12	44	3358
13	45	3230
14	47	3107
15	49	3020
16	50	2924
17	52	2838
18	54	2822
19	56	2755
20	58	2732
21	60	2691
22	62	2637
23	63	2584
24	65	2539
25	66	2494
26	69	2503
27	71	2466
28	72	2433
29	112	3640
30	115	3602
31	120	3634
32	125	3680
33	129	3686
34	132	3651
35	138	3701
36	140	3668
37	143	3637
38	148	3660
39	155	3724
40	158	3712
41	161	3683
42	164	3651
43	169	3691
44	172	3662
45	175	3649
46	179	3629
47	182	3622
48	186	3614
49	189	3597
50	192	3576
51	231	4221
52	234	4187
53	236	4150
54	240	4128
55	243	4102
56	248	4105
57	250	4073
58	253	4043
59	256	4013
60	258	3984
61	261	3955
62	272	4049
63	275	4024
64	276	3983
65	280	3967
66	282	3927
67	283	3891
68	285	3852
69	287	3816
70	315	4132
71	321	4145
72	323	4111
73	325	4072
74	328	4047
75	329	4009
76	331	3974
77	333	3945
78	335	3909
79	336	3874
80	339	3853
81	341	3824
82	343	3794
83	345	3762
84	346	3734
85	348	3703
86	350	3681
87	352	3654
88	354	3624
89	355	3594
90	358	3577
91	360	3556
92	361	3528
93	363	3501
94	365	3482
95	367	3459
96	369	3440
97	371	3418
98	373	3398
99	374	3373
100	376	3350
101	378	3336
102	380	3314
103	381	3291
104	383	3268
105	384	3245
106	387	3235
107	389	3215
108	390	3194
109	392	3179
110	394	3162
111	396	3142
112	397	3122
113	399	3101
114	400	3081
115	404	3081
116	409	3089
117	412	3081
118	414	3067
119	415	3049
120	417	3035
121	419	3020
122	421	3003
123	422	2986
124	424	2970
125	426	2957
126	428	2943
127	429	2927
128	431	2910
129	433	2903
130	435	2890
131	437	2875
132	438	2860
133	440	2845
134	441	2830
135	443	2814
136	444	2799
137	445	2783
138	446	2768
139	449	2761
140	451	2748
141	451	2729
142	453	2718
143	455	2707
144	457	2697
145	459	2685
146	461	2676
147	463	2669
148	465	2658
149	467	2646
150	468	2633
151	469	2620
152	471	2608
153	472	2593
154	473	2581
155	474	2566
156	475	2553
157	476	2540
158	478	2533
159	480	2524
160	482	2513
161	483	2501
162	485	2490
163	486	2481
164	488	2470
165	489	2459
166	490	2448
167	492	2437
168	492	2423
169	494	2416
170	496	2407
171	498	2398
172	499	2389
173	501	2379
174	502	2369
175	503	2358
176	505	2348
177	505	2335
178	506	2322
179	508	2317
180	510	2309
181	511	2296
182	511	2284
183	512	2273
184	513	2263
185	515	2254
186	516	2244
187	517	2234
188	518	2225
189	520	2217
190	521	2208
191	523	2203
192	525	2195
193	526	2188
194	528	2180
195	529	2173
196	531	2167
197	533	2161
198	534	2153
199	536	2144
200	536	2134
201	538	2127
202	540	2121
203	541	2111
204	541	2100
205	543	2093
206	544	2084
207	544	2074
208	546	2068
